FIPS,2019,DP03_0062E,DP03_0063E
51001,"32,316",43210,57996
51003,"109,330",75394,107948
51005,"14,860",47794,60513
51007,"13,145",58526,74185
51009,"31,605",49170,61676
51011,"15,911",56176,68207
51013,"236,842",117374,149525
51015,"75,558",61305,73950
51017,"4,147",46137,61463
51019,"78,997",61541,78489
51021,"6,280",50511,63102
51023,"33,419",68410,84029
51025,"16,231",41927,52982
51027,"21,004",30806,43968
51029,"17,148",46261,53984
51031,"54,885",50258,65559
51033,"30,725",64715,82975
51035,"29,791",43532,57780
51036,"6,963",59192,89844
51037,"11,880",39212,50140
51041,"352,802",80214,98678
51043,"14,619",77936,99778
51045,"5,131",55484,64188
51047,"52,605",73116,88970
51049,"9,932",46221,60786
51051,"14,318",29226,53650
51053,"28,544",55880,70153
51057,"10,953",52681,62347
51059,"1,147,532",121133,153844
51061,"71,222",97469,122640
51063,"15,749",49729,61322
51065,"27,270",74931,101541
51067,"56,042",52639,68959
51069,"89,313",73250,90356
51071,"16,720",52478,61973
51073,"37,348",66701,82113
51075,"23,753",89741,126796
51077,"15,550",33969,47703
51079,"19,819",64979,85619
51081,"11,336",44534,51357
51083,"33,911",42289,54456
51085,"107,766",88652,105579
51087,"330,818",68572,93759
51089,"50,557",36683,49397
51091,"2,190",46147,62314
51093,"37,109",71376,88211
51095,"76,523",83048,109646
51097,"7,025",54516,65527
51099,"26,836",87321,103832
51101,"17,148",68720,84546
51103,"10,603",50739,77428
51105,"23,423",32718,47218
51107,"413,538",136268,160726
51109,"37,591",59343,78322
51111,"12,196",41868,49468
51113,"13,261",54197,75733
51115,"8,834",67009,88006
51117,"30,587",42025,57561
51119,"10,582",51917,67128
51121,"98,535",54641,75661
51125,"14,930",62446,82363
51127,"23,091",79698,95882
51131,"11,710",43553,61127
51133,"12,095",58677,75188
51135,"15,232",42869,63382
51137,"37,051",68481,79470
51139,"23,902",47951,61444
51141,"17,608",40486,51942
51143,"60,354",45382,57814
51145,"29,652",83914,98807
51147,"22,802",46189,64342
51149,"38,353",67001,84555
51153,"470,335",103445,122231
51155,"34,027",52638,61930
51157,"7,370",68438,90406
51159,"9,023",49831,61375
51161,"94,186",65467,83540
51163,"22,573",54805,75313
51165,"81,948",59817,76808
51167,"26,586",39482,51444
51169,"21,566",39144,50211
51171,"43,616",54921,67417
51173,"30,104",40425,52526
51175,"17,631",54611,65906
51177,"136,215",85330,103692
51179,"152,882",106773,122695
51181,"6,422",54844,67559
51183,"11,159",45801,54770
51185,"40,595",40978,56037
51187,"40,164",68189,81796
51191,"53,740",46262,61489
51193,"18,015",54268,75446
51195,"37,383",38345,53330
51197,"28,684",48043,63002
51199,"68,280",90367,104724
51510,"159,428",96733,127734
51520,"16,762",37904,51983
51530,"6,478",34273,50088
51540,"47,266",58933,85664
51550,"244,835",75790,92716
51570,"17,370",53716,67430
51580,"5,538",39432,56384
51590,"40,044",36301,50300
51595,"5,346",30857,45698
51600,"24,019",111574,132435
51610,"14,617",124796,181724
51620,"7,967",40375,58059
51630,"29,036",63274,86820
51640,"6,347",31938,49125
51650,"134,510",54550,68776
51660,"53,016",43893,60920
51670,"22,529",40497,53391
51678,"7,446",36466,57050
51680,"82,168",43374,61086
51683,"41,085",78462,93608
51685,"17,478",80667,94472
51690,"12,554",33224,52429
51700,"179,225",51884,66183
51710,"242,742",49146,69410
51720,"3,981",28071,44829
51730,"31,346",36135,50193
51735,"12,271",96831,103661
51740,"94,398",50224,61052
51750,"18,249",36743,56298
51760,"230,436",45117,71732
51770,"99,143",43028,59205
51775,"25,301",57185,75752
51790,"24,932",48049,66313
51800,"92,108",70664,86685
51810,"449,974",74186,93675
51820,"22,630",45738,58718
51830,"14,954",56163,88075
51840,"28,078",53797,75613
